date,win,lose,probability
Mon Jan 8 2018,Golden State Warriors,Denver Nuggets,0.92570510515697846
Mon Jan 8 2018,Indiana Pacers,Milwaukee Bucks,0.74497779873185721
Mon Jan 8 2018,Los Angeles Clippers,Atlanta Hawks,0.5982289822946556
Mon Jan 8 2018,Cleveland Cavaliers,Minnesota Timberwolves,0.86491724489240107
Mon Jan 8 2018,Detroit Pistons,New Orleans Pelicans,0.68528370546554507
Mon Jan 8 2018,San Antonio Spurs,Sacramento Kings,0.878626406155951
Tue Jan 9 2018,Dallas Mavericks,Orlando Magic,0.67127824934677005
Tue Jan 9 2018,Sacramento Kings,Los Angeles Lakers,0.68362242810871554
Tue Jan 9 2018,Oklahoma City Thunder,Portland Trail Blazers,0.69671525556542824
Tue Jan 9 2018,Toronto Raptors,Miami Heat,0.68688827117664109
Wed Jan 10 2018,Detroit Pistons,Brooklyn Nets,0.81616943750625226
Wed Jan 10 2018,Charlotte Hornets,Dallas Mavericks,0.67854062861350184
Wed Jan 10 2018,Atlanta Hawks,Denver Nuggets,0.75189841254442036
Wed Jan 10 2018,Golden State Warriors,Los Angeles Clippers,0.80662688968533269
Wed Jan 10 2018,Portland Trail Blazers,Houston Rockets,0.56626036684109571
Wed Jan 10 2018,Indiana Pacers,Miami Heat,0.51406693149024763
Wed Jan 10 2018,Memphis Grizzlies,New Orleans Pelicans,0.63995692460879072
Wed Jan 10 2018,Orlando Magic,Milwaukee Bucks,0.55061558412946265
Wed Jan 10 2018,Oklahoma City Thunder,Minnesota Timberwolves,0.86376178415876459
Wed Jan 10 2018,Chicago Bulls,New York Knicks,0.5319988308713981
Wed Jan 10 2018,Washington Wizards,Utah Jazz,0.54882849593814687
Thu Jan 11 2018,San Antonio Spurs,Los Angeles Lakers,0.94789674594658224
Thu Jan 11 2018,Boston Celtics,Philadelphia 76ers,0.91657176680384944
Thu Jan 11 2018,Los Angeles Clippers,Sacramento Kings,0.73280521085406902
Thu Jan 11 2018,Cleveland Cavaliers,Toronto Raptors,0.52223350760035037
Fri Jan 12 2018,Atlanta Hawks,Brooklyn Nets,0.87855561647435743
Fri Jan 12 2018,Charlotte Hornets,Utah Jazz,0.66008294769365305
Fri Jan 12 2018,Memphis Grizzlies,Denver Nuggets,0.54609103073152476
Fri Jan 12 2018,Cleveland Cavaliers,Indiana Pacers,0.69387996675935526
Fri Jan 12 2018,Golden State Warriors,Milwaukee Bucks,0.9237738570434757
Fri Jan 12 2018,Minnesota Timberwolves,New York Knicks,0.55062666567406671
Fri Jan 12 2018,Portland Trail Blazers,New Orleans Pelicans,0.75935075521480189
Fri Jan 12 2018,Houston Rockets,Phoenix Suns,0.74275825285174624
Fri Jan 12 2018,Washington Wizards,Orlando Magic,0.64251138902031579
Sat Jan 13 2018,Chicago Bulls,Detroit Pistons,0.52754758866045437
Sat Jan 13 2018,Oklahoma City Thunder,Charlotte Hornets,0.64613943701888699
Sat Jan 13 2018,Dallas Mavericks,Los Angeles Lakers,0.8767507610356795
Sat Jan 13 2018,Los Angeles Clippers,Sacramento Kings,0.81083237895401983
Sat Jan 13 2018,San Antonio Spurs,Denver Nuggets,0.90431015628889022
Sat Jan 13 2018,Golden State Warriors,Toronto Raptors,0.67142215597086219
Sat Jan 13 2018,Washington Wizards,Brooklyn Nets,0.82148636573193912
Sun Jan 14 2018,Miami Heat,Milwaukee Bucks,0.79715559858326646
Sun Jan 14 2018,Portland Trail Blazers,Minnesota Timberwolves,0.75689702837023742
Sun Jan 14 2018,New York Knicks,New Orleans Pelicans,0.58705262388318169
Sun Jan 14 2018,Indiana Pacers,Phoenix Suns,0.79079800904574293
Mon Jan 15 2018,San Antonio Spurs,Atlanta Hawks,0.72977548858736019
Mon Jan 15 2018,New York Knicks,Brooklyn Nets,0.62776123091940805
Mon Jan 15 2018,Miami Heat,Chicago Bulls,0.52673941506237276
Mon Jan 15 2018,Golden State Warriors,Cleveland Cavaliers,0.5674391772478552
Mon Jan 15 2018,Charlotte Hornets,Detroit Pistons,0.56869320353158526
Mon Jan 15 2018,Los Angeles Clippers,Houston Rockets,0.70715542715129676
